xm,ym,length,xnormal,ynormal,Tx,Ty,F,phi,dF_dn,dphi_dn
-2.485030,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,7084.304922,19953.073810,1000.000000,0.000000
-2.455090,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,7119.538113,15624.835597,1000.000000,0.000000
-2.425150,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,5405.822777,95695.670910,1000.000000,0.000000
-2.395210,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,27731.698910,-873848.185236,1000.000000,0.000000
-2.365269,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-174777.354873,7308061.372298,1000.000000,0.000000
-2.335329,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,1136049.495550,-41836664.481223,1000.000000,0.000000
-2.305389,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-4992013.028892,168577023.371535,1000.000000,0.000000
-2.275449,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,15509664.278759,-462711030.984823,1000.000000,0.000000
-2.245509,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-31994650.599921,801226636.395698,1000.000000,0.000000
-2.215569,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,38052201.583469,-672939030.709090,1000.000000,0.000000
-2.185629,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-11133482.856241,-186947188.583393,1000.000000,0.000000
-2.155689,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-28262017.799595,719618305.958577,1000.000000,0.000000
-2.125749,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,17641481.265233,114625495.660466,1000.000000,0.000000
-2.095808,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,26931199.072506,-667908449.046719,1000.000000,0.000000
-2.065868,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-8957741.166446,-384953681.870111,1000.000000,0.000000
-2.035928,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-29538326.805821,413358267.425427,1000.000000,0.000000
-2.005988,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-10771034.025388,684643965.474507,1000.000000,0.000000
-1.976048,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,19373918.275332,207461313.107979,1000.000000,0.000000
-1.946108,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,28006369.211113,-456865805.007524,1000.000000,0.000000
-1.916168,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,10149741.726784,-704512041.630197,1000.000000,0.000000
-1.886228,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-15432764.059943,-387875438.838445,1000.000000,0.000000
-1.856287,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-28108248.283372,202257263.734003,1000.000000,0.000000
-1.826347,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-20662823.322917,646273925.887909,1000.000000,0.000000
-1.796407,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-293372.496735,691676718.683711,1000.000000,0.000000
-1.766467,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,19515248.370369,350714168.511104,1000.000000,0.000000
-1.736527,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,28153554.620168,-164560702.750814,1000.000000,0.000000
-1.706587,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,22442974.919590,-593472734.387487,1000.000000,0.000000
-1.676647,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,6535735.524136,-754160234.945843,1000.000000,0.000000
-1.646707,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-11746431.738568,-602303884.119603,1000.000000,0.000000
-1.616766,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-24836303.092194,-221511611.267028,1000.000000,0.000000
-1.586826,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-28346822.046873,233980235.640103,1000.000000,0.000000
-1.556886,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-21891165.055186,605457785.512242,1000.000000,0.000000
-1.526946,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-8436324.977173,780605820.216045,1000.000000,0.000000
-1.497006,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,7364561.649993,722667019.911239,1000.000000,0.000000
