x,y,R,s,phi,sigma_xx,sigma_yy,tau_xy,epsilon_xx,epsilon_yy,epsilon_xy
-2.120000,-1.680000,0.320052,0.080000,10298.886085,858229.758688,-806396.071372,1124774.991815,0.000016,-0.000015,0.000021
-2.040000,-1.680000,0.320026,0.080000,4580.548597,602918.423599,-706163.347907,-5742612.953876,0.000012,-0.000013,-0.000108
-1.960000,-1.680000,0.320301,0.080000,9029.231859,-16119767.998125,15682517.705754,8278536.981114,-0.000301,0.000298,0.000156
-1.880000,-1.680000,0.320061,0.080000,69455.217940,36369064.715218,-35873335.095919,26258564.470617,0.000682,-0.000679,0.000495
-1.800000,-1.680000,0.320020,0.080000,-67631.816489,30053743.299185,-30137862.795132,-83314961.124168,0.000567,-0.000567,-0.001570
-1.720000,-1.680000,0.320281,0.080000,-272160.718707,-154469632.484453,153379729.140323,-32280881.104220,-0.002904,0.002896,-0.000608
-1.640000,-1.680000,0.320070,0.080000,315262.640986,-48246079.433158,48134109.416834,240164040.258515,-0.000908,0.000908,0.004525
-1.560000,-1.680000,0.320015,0.080000,1019395.603886,344945364.862182,-342350045.921695,105543567.622310,0.006484,-0.006465,0.001989
-1.480000,-1.680000,0.320261,0.080000,-139253.606037,237316410.736114,-235911577.084547,-421896253.333769,0.004463,-0.004453,-0.007949
-1.400000,-1.680000,0.320081,0.080000,-2438075.048215,-441346274.493231,437701263.419466,-444993071.060255,-0.008295,0.008267,-0.008384
-1.320000,-1.680000,0.320011,0.080000,-2203564.298952,-717360597.138328,712353589.969691,300365875.789944,-0.013487,0.013449,0.005659
-1.240000,-1.680000,0.320242,0.080000,1965659.937358,-32007811.044899,32690689.379367,911895524.521835,-0.000607,0.000612,0.017181
-1.160000,-1.680000,0.320092,0.080000,6176631.546346,924873020.297959,-917540127.471197,534280094.420825,0.017384,-0.017328,0.010066
-1.080000,-1.680000,0.320007,0.080000,5054596.277187,1065873817.248053,-1058782275.522238,-559867756.988622,0.020042,-0.019988,-0.010548
-1.000000,-1.680000,0.320224,0.080000,-2146920.369071,137058937.233595,-137711430.068338,-1303192016.373365,0.002586,-0.002591,-0.024553
-0.920000,-1.680000,0.320104,0.080000,-10057144.612934,-1069211214.240485,1060178515.489882,-953158274.150657,-0.020094,0.020025,-0.017958
-0.840000,-1.680000,0.320004,0.080000,-11688408.292747,-1516843198.281636,1506218616.648063,250501129.172827,-0.028518,0.028438,0.004720
-0.760000,-1.680000,0.320206,0.080000,-4436461.874807,-818019619.189684,814203128.672857,1371548984.558630,-0.015390,0.015362,0.025841
