xm,ym,length,xnormal,ynormal,Tx,Ty,F,phi,dF_dn,dphi_dn
-2.450000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,0.010070,0.023190,0.001000,0.000000
-2.350000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,0.004371,0.002486,0.001000,0.000000
-2.250000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,0.002388,-0.004081,0.001000,0.000000
-2.150000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,0.001321,-0.007217,0.001000,0.000000
-2.050000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,0.000636,-0.008947,0.001000,0.000000
-1.950000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,0.000156,-0.009939,0.001000,0.000000
-1.850000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.000199,-0.010491,0.001000,0.000000
-1.750000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.000471,-0.010761,0.001000,0.000000
-1.650000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.000686,-0.010842,0.001000,0.000000
-1.550000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.000858,-0.010790,0.001000,0.000000
-1.450000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.000997,-0.010646,0.001000,0.000000
-1.350000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.001113,-0.010436,0.001000,0.000000
-1.250000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.001208,-0.010179,0.001000,0.000000
-1.150000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.001288,-0.009890,0.001000,0.000000
-1.050000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.001354,-0.009579,0.001000,0.000000
-0.950000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.001410,-0.009256,0.001000,0.000000
-0.850000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.001457,-0.008926,0.001000,0.000000
-0.750000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.001497,-0.008595,0.001000,0.000000
-0.650000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.001529,-0.008267,0.001000,0.000000
-0.550000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.001556,-0.007945,0.001000,0.000000
-0.450000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.001577,-0.007631,0.001000,0.000000
-0.350000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.001593,-0.007328,0.001000,0.000000
-0.250000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.001605,-0.007037,0.001000,0.000000
-0.150000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.001613,-0.006759,0.001000,0.000000
-0.050000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.001617,-0.006495,0.001000,0.000000
0.050000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.001617,-0.006245,0.001000,0.000000
0.150000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.001613,-0.006009,0.001000,0.000000
0.250000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.001605,-0.005787,0.001000,0.000000
0.350000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.001593,-0.005578,0.001000,0.000000
0.450000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.001577,-0.005382,0.001000,0.000000
0.550000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.001556,-0.005195,0.001000,0.000000
0.650000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.001529,-0.005018,0.001000,0.000000
0.750000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.001497,-0.004846,0.001000,0.000000
0.850000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.001457,-0.004677,0.001000,0.000000
0.950000,-2.000000,0.100000,0.000000,-1.000000,0.000000,-0.001000,-0.001410,-0.004507,0.001000,0.000000
