x,y,R,s,phi,sigma_xx,sigma_yy,tau_xy,epsilon_xx,epsilon_yy,epsilon_xy
-2.120000,-1.680000,0.321403,0.080000,-1749.425279,-10.877752,9.343112,-47.857443,-0.000000,0.000000,-0.000000
-2.040000,-1.680000,0.320156,0.080000,-1750.190736,-16.294765,14.982032,-33.015012,-0.000000,0.000000,-0.000000
-1.960000,-1.680000,0.320156,0.080000,-1750.863340,-16.999951,15.599049,-22.262710,-0.000000,0.000000,-0.000000
-1.880000,-1.680000,0.321403,0.080000,-1751.436667,-15.956871,14.550761,-14.780070,-0.000000,0.000000,-0.000000
-1.800000,-1.680000,0.323883,0.080000,-1751.917865,-14.142265,12.674849,-9.902129,-0.000000,0.000000,-0.000000
-1.720000,-1.680000,0.321403,0.080000,-1752.318676,-12.036783,10.677921,-6.668932,-0.000000,0.000000,-0.000000
-1.640000,-1.680000,0.320156,0.080000,-1752.651392,-10.025495,8.835385,-4.416065,-0.000000,0.000000,-0.000000
-1.560000,-1.680000,0.320156,0.080000,-1752.927241,-8.492996,7.314430,-2.832131,-0.000000,0.000000,-0.000000
-1.480000,-1.680000,0.321403,0.080000,-1753.155910,-7.435371,6.112049,-1.787434,-0.000000,0.000000,-0.000000
-1.400000,-1.680000,0.323883,0.080000,-1753.345530,-6.504054,5.098903,-1.181219,-0.000000,0.000000,-0.000000
-1.320000,-1.680000,0.321403,0.080000,-1753.502827,-5.509796,4.196594,-0.793145,-0.000000,0.000000,-0.000000
-1.240000,-1.680000,0.320156,0.080000,-1753.633336,-4.573980,3.416910,-0.438283,-0.000000,0.000000,-0.000000
-1.160000,-1.680000,0.320156,0.080000,-1753.741603,-3.987811,2.832965,-0.129099,-0.000000,0.000000,-0.000000
-1.080000,-1.680000,0.321403,0.080000,-1753.831373,-3.727772,2.421445,0.051583,-0.000000,0.000000,0.000000
-1.000000,-1.680000,0.323883,0.080000,-1753.905735,-3.455095,2.062179,0.066303,-0.000000,0.000000,0.000000
-0.920000,-1.680000,0.321403,0.080000,-1753.967242,-3.000012,1.695682,0.045418,-0.000000,0.000000,0.000000
-0.840000,-1.680000,0.320156,0.080000,-1754.017996,-2.504618,1.354010,0.114846,-0.000000,0.000000,0.000000
-0.760000,-1.680000,0.320156,0.080000,-1754.059740,-2.278810,1.128671,0.223049,-0.000000,0.000000,0.000000
-0.680000,-1.680000,0.321403,0.080000,-1754.093918,-2.314817,1.011927,0.261090,-0.000000,0.000000,0.000000
-0.600000,-1.680000,0.323883,0.080000,-1754.121731,-2.286773,0.896386,0.173883,-0.000000,0.000000,0.000000
