xm,ym,length,xnormal,ynormal,Tx,Ty,F,phi,dF_dn,dphi_dn
-2.485030,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,22542639.069143,0.000000,0.000000
-2.455090,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,16959566.060649,0.000000,0.000000
-2.425150,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,120983434.715216,0.000000,0.000000
-2.395210,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-1149417761.214602,0.000000,0.000000
-2.365269,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,9702731220.629616,0.000000,0.000000
-2.335329,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-56547656757.395859,0.000000,0.000000
-2.305389,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,233281389227.953857,0.000000,0.000000
-2.275449,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-662244549876.941528,0.000000,0.000000
-2.245509,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,1210795966045.573486,0.000000,0.000000
-2.215569,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-1156081126976.531250,0.000000,0.000000
-2.185629,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-50468276425.707504,0.000000,0.000000
-2.155689,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,1081464220471.407471,0.000000,0.000000
-2.125749,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-103625273571.151489,0.000000,0.000000
-2.095808,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-1012718281025.491577,0.000000,0.000000
-2.065868,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-278401564869.952637,0.000000,0.000000
-2.035928,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,787811709665.939209,0.000000,0.000000
-2.005988,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,828570522308.372192,0.000000,0.000000
-1.976048,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-31607009012.713173,0.000000,0.000000
-1.946108,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-812734320969.265259,0.000000,0.000000
-1.916168,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-841116000588.609497,0.000000,0.000000
-1.886228,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-200722330241.808502,0.000000,0.000000
-1.856287,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,556333525525.237549,0.000000,0.000000
-1.826347,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,913995168733.413086,0.000000,0.000000
-1.796407,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,705805978743.665771,0.000000,0.000000
-1.766467,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,112186013864.442841,0.000000,0.000000
-1.736527,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-518568284127.635864,0.000000,0.000000
