xm,ym,length,xnormal,ynormal,T,dT_dn
2.249629,0.016046,0.032101,0.999733,0.023104,300.000000,-33.820486
2.248250,0.046987,0.029858,0.997715,0.067559,300.000000,-33.858896
2.245595,0.076750,0.029920,0.993924,0.110065,300.000000,-34.033962
2.241666,0.106449,0.030008,0.988370,0.152067,300.000000,-34.270543
2.236472,0.136055,0.030121,0.981123,0.193384,300.000000,-34.583188
2.230022,0.165541,0.030259,0.972274,0.233847,300.000000,-34.971797
2.222327,0.194882,0.030419,0.961927,0.273307,300.000000,-35.436464
2.213402,0.224050,0.030600,0.950202,0.311635,300.000000,-35.977115
2.203264,0.253021,0.030800,0.937226,0.348723,300.000000,-36.593639
2.191931,0.281771,0.031017,0.923132,0.384484,300.000000,-37.285920
2.179424,0.310275,0.031249,0.908054,0.418853,300.000000,-38.053857
2.165765,0.338512,0.031494,0.892126,0.451787,300.000000,-38.897369
2.150979,0.366458,0.031750,0.875478,0.483258,300.000000,-39.816410
2.135091,0.394095,0.032015,0.858235,0.513258,300.000000,-40.810966
2.118129,0.421402,0.032287,0.840512,0.541793,300.000000,-41.881059
2.100120,0.448361,0.032563,0.822419,0.568882,300.000000,-43.026741
2.081094,0.474955,0.032843,0.804055,0.594555,300.000000,-44.248096
2.061082,0.501168,0.033123,0.785510,0.618849,300.000000,-45.545222
2.040113,0.526985,0.033403,0.766863,0.641811,300.000000,-46.918229
2.018221,0.552393,0.033681,0.748186,0.663489,300.000000,-48.367217
1.995435,0.577379,0.033956,0.729540,0.683939,300.000000,-49.892266
1.971789,0.601932,0.034226,0.710978,0.703215,300.000000,-51.493413
1.947314,0.626042,0.034491,0.692545,0.721374,300.000000,-53.170632
1.922043,0.649701,0.034749,0.674281,0.738475,300.000000,-54.923810
1.896007,0.672900,0.035000,0.656215,0.754574,300.000000,-56.752725
1.869238,0.695633,0.035244,0.638374,0.769726,300.000000,-58.657011
1.841767,0.717895,0.035479,0.620779,0.783986,300.000000,-60.636136
1.813624,0.739680,0.035705,0.603445,0.797405,300.000000,-62.689370
1.784839,0.760985,0.035922,0.586383,0.810034,300.000000,-64.815753
1.755442,0.781807,0.036131,0.569602,0.821921,300.000000,-67.014062
1.725460,0.802145,0.036330,0.553107,0.833110,300.000000,-69.282781
1.694921,0.821996,0.036521,0.536901,0.843645,300.000000,-71.620067
1.663852,0.841360,0.036702,0.520985,0.853566,300.000000,-74.023720
1.632278,0.860239,0.036875,0.505355,0.862912,300.000000,-76.491155
1.600224,0.878631,0.037039,0.490010,0.871717,300.000000,-79.019370
1.567714,0.896539,0.037196,0.474945,0.880016,300.000000,-81.604927
1.534769,0.913964,0.037345,0.460154,0.887839,300.000000,-84.243930
1.501413,0.930908,0.037486,0.445632,0.895216,300.000000,-86.932007
1.467664,0.947375,0.037620,0.431370,0.902175,300.000000,-89.664307
1.433542,0.963366,0.037748,0.417363,0.908740,300.000000,-92.435493
1.399066,0.978886,0.037870,0.403600,0.914935,300.000000,-95.239753
1.364253,0.993937,0.037986,0.390075,0.920783,300.000000,-98.070808
1.329119,1.008523,0.038098,0.376779,0.926303,300.000000,-100.921945
1.293681,1.022647,0.038204,0.363702,0.931515,300.000000,-103.786043
1.257951,1.036315,0.038306,0.350837,0.936437,300.000000,-106.655623
1.221944,1.049528,0.038405,0.338174,0.941084,300.000000,-109.522897
1.185673,1.062292,0.038500,0.325705,0.945471,300.000000,-112.379835
1.149149,1.074609,0.038592,0.313421,0.949614,300.000000,-115.218234
1.112384,1.086484,0.038681,0.301313,0.953525,300.000000,-118.029797
1.075388,1.097921,0.038768,0.289374,0.957216,300.000000,-120.806216
1.038171,1.108923,0.038852,0.277594,0.960699,300.000000,-123.539257
1.000742,1.119493,0.038934,0.265965,0.963983,300.000000,-126.220851
0.963111,1.129635,0.039015,0.254481,0.967078,300.000000,-128.843174
0.925285,1.139352,0.039094,0.243132,0.969993,300.000000,-131.398735
0.887273,1.148646,0.039171,0.231911,0.972737,300.000000,-133.880447
0.849083,1.157521,0.039246,0.220811,0.975317,300.000000,-136.281694
0.810721,1.165979,0.039320,0.209826,0.977739,300.000000,-138.596388
0.772197,1.174023,0.039392,0.198947,0.980010,300.000000,-140.819013
0.733516,1.181654,0.039462,0.188168,0.982137,300.000000,-142.944655
0.694687,1.188875,0.039529,0.177484,0.984124,300.000000,-144.969019
0.655717,1.195686,0.039594,0.166886,0.985976,300.000000,-146.888433
0.616614,1.202091,0.039656,0.156371,0.987698,300.000000,-148.699839
0.577385,1.208089,0.039715,0.145931,0.989295,300.000000,-150.400768
0.538038,1.213683,0.039771,0.135561,0.990769,300.000000,-151.989309
0.498581,1.218872,0.039822,0.125256,0.992124,300.000000,-153.464063
0.459024,1.223659,0.039870,0.115011,0.993364,300.000000,-154.824098
0.419375,1.228044,0.039913,0.104820,0.994491,300.000000,-156.068886
0.379644,1.232027,0.039950,0.094679,0.995508,300.000000,-157.198251
0.339839,1.235609,0.039982,0.084584,0.996416,300.000000,-158.212297
0.299971,1.238791,0.040008,0.074529,0.997219,300.000000,-159.111355
0.260050,1.241573,0.040028,0.064511,0.997917,300.000000,-159.895918
0.220086,1.243956,0.040042,0.054525,0.998512,300.000000,-160.566585
0.180091,1.245940,0.040049,0.044567,0.999006,300.000000,-161.124007
0.140074,1.247526,0.040049,0.034634,0.999400,300.000000,-161.568841
0.100046,1.248714,0.040042,0.024721,0.999694,300.000000,-161.901705
0.060019,1.249506,0.040028,0.014824,0.999890,300.000000,-162.123145
0.020004,1.249901,0.040008,0.004940,0.999988,300.000000,-162.233474
-0.020004,1.249901,0.040008,-0.004940,0.999988,300.000000,-162.233474
