x,y,R,s,phi,phi_an
-0.240000,-0.800000,0.335649,0.040000,-0.827581,-0.029450
-0.200000,-0.800000,0.325453,0.040000,-0.736031,0.104000
-0.160000,-0.800000,0.316531,0.040000,-0.659931,0.213647
-0.120000,-0.800000,0.309407,0.040000,-0.600002,0.299215
-0.080000,-0.800000,0.305414,0.040000,-0.556801,0.360489
-0.040000,-0.800000,0.301457,0.040000,-0.530723,0.397315
0.000000,-0.800000,0.300658,0.040000,-0.522004,0.409600
0.040000,-0.800000,0.301995,0.040000,-0.530723,0.397315
0.080000,-0.800000,0.304385,0.040000,-0.556801,0.360489
0.120000,-0.800000,0.309935,0.040000,-0.600002,0.299215
0.160000,-0.800000,0.316458,0.040000,-0.659931,0.213647
0.200000,-0.800000,0.325132,0.040000,-0.736031,0.104000
0.240000,-0.800000,0.336295,0.040000,-0.827581,-0.029450
-0.320000,-0.760000,0.325289,0.040000,-1.205379,-0.365647
-0.280000,-0.760000,0.310734,0.040000,-1.098908,-0.203638
-0.240000,-0.760000,0.297429,0.040000,-1.004239,-0.062298
-0.200000,-0.760000,0.287291,0.040000,-0.922411,0.057974
-0.160000,-0.760000,0.277143,0.040000,-0.854295,0.156838
-0.120000,-0.760000,0.270027,0.040000,-0.800594,0.234020
-0.080000,-0.760000,0.265442,0.040000,-0.761850,0.289303
-0.040000,-0.760000,0.261484,0.040000,-0.738451,0.322534
0.000000,-0.760000,0.260683,0.040000,-0.730626,0.333622
0.040000,-0.760000,0.262224,0.040000,-0.738451,0.322534
0.080000,-0.760000,0.264616,0.040000,-0.761850,0.289303
0.120000,-0.760000,0.270166,0.040000,-0.800594,0.234020
0.160000,-0.760000,0.277625,0.040000,-0.854295,0.156838
0.200000,-0.760000,0.286272,0.040000,-0.922411,0.057974
0.240000,-0.760000,0.298080,0.040000,-1.004239,-0.062298
0.280000,-0.760000,0.310480,0.040000,-1.098908,-0.203638
0.320000,-0.760000,0.325246,0.040000,-1.205379,-0.365647
-0.400000,-0.720000,0.324607,0.040000,-1.544259,-0.700989
-0.360000,-0.720000,0.305406,0.040000,-1.433829,-0.520681
-0.320000,-0.720000,0.289345,0.040000,-1.331011,-0.357786
-0.280000,-0.720000,0.272957,0.040000,-1.237176,-0.212826
-0.240000,-0.720000,0.259745,0.040000,-1.153513,-0.086262
-0.200000,-0.720000,0.248218,0.040000,-1.081038,0.021507
-0.160000,-0.720000,0.237959,0.040000,-1.020600,0.110141
-0.120000,-0.720000,0.230860,0.040000,-0.972886,0.179366
-0.080000,-0.720000,0.225480,0.040000,-0.938429,0.228966
-0.040000,-0.720000,0.221520,0.040000,-0.917604,0.258788
0.000000,-0.720000,0.220718,0.040000,-0.910637,0.268739
0.040000,-0.720000,0.222535,0.040000,-0.917604,0.258788
0.080000,-0.720000,0.224928,0.040000,-0.938429,0.228966
0.120000,-0.720000,0.230478,0.040000,-0.972886,0.179366
0.160000,-0.720000,0.239177,0.040000,-1.020600,0.110141
0.200000,-0.720000,0.247774,0.040000,-1.081038,0.021507
0.240000,-0.720000,0.259535,0.040000,-1.153513,-0.086262
0.280000,-0.720000,0.273687,0.040000,-1.237176,-0.212826
0.320000,-0.720000,0.288304,0.040000,-1.331011,-0.357786
0.360000,-0.720000,0.306115,0.040000,-1.433829,-0.520681
0.400000,-0.720000,0.324109,0.040000,-1.544259,-0.700989
-0.480000,-0.680000,0.332743,0.040000,-1.820548,-1.011546
-0.440000,-0.680000,0.311247,0.040000,-1.717833,-0.822953
