x,y,R,s,T
-0.460000,-1.060000,0.845902,0.040000,325.630965
-0.420000,-1.060000,0.839615,0.040000,326.602976
-0.380000,-1.060000,0.834213,0.040000,327.497111
-0.340000,-1.060000,0.829588,0.040000,328.310189
-0.300000,-1.060000,0.825021,0.040000,329.039426
-0.260000,-1.060000,0.821267,0.040000,329.682418
-0.220000,-1.060000,0.818318,0.040000,330.237128
-0.180000,-1.060000,0.815524,0.040000,330.701857
-0.140000,-1.060000,0.813308,0.040000,331.075230
-0.100000,-1.060000,0.811865,0.040000,331.356174
-0.060000,-1.060000,0.810916,0.040000,331.543900
-0.020000,-1.060000,0.810180,0.040000,331.637892
0.020000,-1.060000,0.810180,0.040000,331.637892
0.060000,-1.060000,0.810916,0.040000,331.543900
0.100000,-1.060000,0.811865,0.040000,331.356174
0.140000,-1.060000,0.813308,0.040000,331.075230
0.180000,-1.060000,0.815524,0.040000,330.701857
0.220000,-1.060000,0.818318,0.040000,330.237128
0.260000,-1.060000,0.821267,0.040000,329.682418
0.300000,-1.060000,0.825021,0.040000,329.039426
0.340000,-1.060000,0.829588,0.040000,328.310189
0.380000,-1.060000,0.834213,0.040000,327.497111
0.420000,-1.060000,0.839615,0.040000,326.602976
0.460000,-1.060000,0.845902,0.040000,325.630965
-0.700000,-1.020000,0.857071,0.040000,324.230700
-0.660000,-1.020000,0.846640,0.040000,325.695564
-0.620000,-1.020000,0.837268,0.040000,327.104750
-0.580000,-1.020000,0.828603,0.040000,328.452338
-0.540000,-1.020000,0.820347,0.040000,329.732791
-0.500000,-1.020000,0.813117,0.040000,330.940997
-0.460000,-1.020000,0.806311,0.040000,332.072291
-0.420000,-1.020000,0.800023,0.040000,333.122471
-0.380000,-1.020000,0.794623,0.040000,334.087795
-0.340000,-1.020000,0.789766,0.040000,334.964980
-0.300000,-1.020000,0.785200,0.040000,335.751177
-0.260000,-1.020000,0.781449,0.040000,336.443957
-0.220000,-1.020000,0.778505,0.040000,337.041275
-0.180000,-1.020000,0.775567,0.040000,337.541450
